index,feature,importance
407,MAX(previous_app.HOUR_APPR_PROCESS_START),176
453,MAX(cash.MONTHS_BALANCE),176
214,SKEW(cash.MONTHS_BALANCE),175
1564,SUM(previous_app.SKEW(installments.AMT_PAYMENT)),175
1274,MIN(previous_app.SUM(installments.AMT_INSTALMENT)),175
496,MAX(previous_app.AMT_DOWN_PAYMENT),173
463,STD(previous_app.AMT_DOWN_PAYMENT),173
201,SUM(bureau.DAYS_CREDIT),171
814,SUM(previous_app.SKEW(installments.DAYS_ENTRY_PAYMENT)),169
508,STD(bureau.AMT_CREDIT_SUM_DEBT),169
786,MEAN(previous_app.SKEW(installments.AMT_INSTALMENT)),168
892,MIN(previous_app.SUM(cash.SK_ID_CURR)),167
440,NUM_UNIQUE(previous_app.CODE_REJECT_REASON),166
1318,MEAN(previous_app.SUM(installments.NUM_INSTALMENT_VERSION)),166
245,SKEW(installments.NUM_INSTALMENT_NUMBER),165
212,SKEW(bureau.AMT_CREDIT_SUM_DEBT),164
333,SKEW(previous_app.SELLERPLACE_AREA),164
629,MEAN(previous_app.SUM(cash.SK_ID_CURR)),163
679,MEAN(previous_app.SKEW(cash.CNT_INSTALMENT)),163
67,HOUR_APPR_PROCESS_START,162
1417,SUM(previous_app.MIN(installments.AMT_INSTALMENT)),161
666,MIN(previous_app.MEAN(cash.CNT_INSTALMENT_FUTURE)),159
175,MIN(installments.AMT_INSTALMENT),159
87,FLAG_DOCUMENT_3,159
299,MEAN(cash.CNT_INSTALMENT_FUTURE),156
56,BASEMENTAREA_AVG,155
1201,MAX(previous_app.MIN(installments.AMT_PAYMENT)),155
411,STD(bureau.AMT_CREDIT_MAX_OVERDUE),155
415,STD(bureau.AMT_CREDIT_SUM),154
1657,MEAN(previous_app.MIN(installments.AMT_INSTALMENT)),154
461,SUM(previous_app.HOUR_APPR_PROCESS_START),154
1080,MAX(previous_app.SKEW(installments.AMT_PAYMENT)),153
248,MAX(previous_app.AMT_CREDIT),152
28,LANDAREA_MODE,151
193,SUM(cash.SK_ID_CURR),151
388,SKEW(previous_app.AMT_ANNUITY),149
192,MEAN(previous_app.NFLAG_INSURED_ON_APPROVAL),147
404,STD(previous_app.SELLERPLACE_AREA),147
1433,MEAN(previous_app.STD(cash.CNT_INSTALMENT_FUTURE)),147
499,STD(previous_app.AMT_ANNUITY),145
1245,STD(previous_app.SKEW(installments.NUM_INSTALMENT_VERSION)),144
468,SUM(installments.SK_ID_CURR),142
109,APARTMENTS_MODE,142
202,SUM(previous_app.DAYS_LAST_DUE),142
236,SUM(bureau.DAYS_ENDDATE_FACT),142
252,SUM(previous_app.DAYS_LAST_DUE_1ST_VERSION),141
1491,SUM(previous_app.SKEW(cash.CNT_INSTALMENT_FUTURE)),140
1215,STD(previous_app.COUNT(cash)),140
519,MIN(previous_app.RATE_DOWN_PAYMENT),139
441,SUM(previous_app.CNT_PAYMENT),138
538,MAX(installments.DAYS_INSTALMENT),138
1172,MAX(previous_app.SUM(installments.AMT_PAYMENT)),138
257,MEAN(installments.AMT_PAYMENT),138
403,STD(previous_app.DAYS_LAST_DUE),137
1289,STD(previous_app.SKEW(installments.NUM_INSTALMENT_NUMBER)),137
387,SKEW(installments.DAYS_INSTALMENT),136
352,MEAN(previous_app.AMT_GOODS_PRICE),136
254,SUM(bureau.DAYS_CREDIT_UPDATE),136
888,MAX(previous_app.STD(cash.CNT_INSTALMENT)),136
1421,SUM(previous_app.STD(cash.CNT_INSTALMENT)),136
528,STD(previous_app.DAYS_TERMINATION),134
1635,MEAN(previous_app.SUM(installments.SK_ID_CURR)),134
276,STD(cash.MONTHS_BALANCE),133
1612,STD(previous_app.SUM(installments.AMT_PAYMENT)),133
532,STD(cash.CNT_INSTALMENT_FUTURE),132
505,STD(previous_app.DAYS_DECISION),131
715,MAX(previous_app.SUM(cash.SK_ID_CURR)),131
1674,MIN(previous_app.STD(installments.AMT_INSTALMENT)),130
379,SUM(previous_app.DAYS_DECISION),129
1027,MEAN(previous_app.COUNT(installments)),128
487,MAX(previous_app.AMT_ANNUITY),127
643,SUM(previous_app.MAX(installments.SK_ID_CURR)),127
1183,MIN(previous_app.MEAN(installments.AMT_INSTALMENT)),127
227,MAX(previous_app.DAYS_LAST_DUE_1ST_VERSION),127
33,LIVINGAREA_MEDI,126
49,NAME_CONTRACT_TYPE,126
107,YEARS_BEGINEXPLUATATION_MODE,125
1670,MIN(previous_app.SKEW(installments.NUM_INSTALMENT_NUMBER)),125
312,SKEW(installments.AMT_INSTALMENT),124
1131,MAX(previous_app.SKEW(cash.CNT_INSTALMENT_FUTURE)),124
1248,SUM(previous_app.MEAN(installments.AMT_PAYMENT)),124
854,MEAN(previous_app.SKEW(installments.DAYS_INSTALMENT)),123
364,MEAN(previous_app.DAYS_FIRST_DUE),122
436,SKEW(previous_app.AMT_CREDIT),122
1624,MIN(previous_app.MAX(installments.AMT_PAYMENT)),122
1651,MAX(previous_app.STD(installments.NUM_INSTALMENT_VERSION)),121
13,FLAG_WORK_PHONE,121
654,MAX(previous_app.MIN(cash.CNT_INSTALMENT_FUTURE)),121
921,MEAN(previous_app.SUM(cash.MONTHS_BALANCE)),121
78,NONLIVINGAREA_MODE,121
742,STD(previous_app.SKEW(installments.DAYS_INSTALMENT)),119
1343,MEAN(previous_app.SKEW(cash.CNT_INSTALMENT_FUTURE)),119
1231,SUM(previous_app.MEAN(installments.NUM_INSTALMENT_VERSION)),119
446,MIN(previous_app.AMT_DOWN_PAYMENT),119
20,AMT_REQ_CREDIT_BUREAU_QRT,118
584,MIN(previous_app.STD(installments.AMT_PAYMENT)),117
17,LIVINGAPARTMENTS_MODE,117
1582,SKEW(bureau.STD(bureau_balance.MONTHS_BALANCE)),117
776,SUM(previous_app.MIN(cash.CNT_INSTALMENT)),117
439,SUM(previous_app.RATE_DOWN_PAYMENT),114
875,STD(previous_app.SUM(installments.AMT_INSTALMENT)),114
1105,SUM(previous_app.STD(installments.AMT_PAYMENT)),114
72,BASEMENTAREA_MODE,114
603,STD(previous_app.SKEW(cash.CNT_INSTALMENT_FUTURE)),114
1234,MEAN(previous_app.STD(cash.MONTHS_BALANCE)),114
218,MODE(previous_app.CODE_REJECT_REASON),113
644,SUM(previous_app.SKEW(installments.NUM_INSTALMENT_VERSION)),113
98,LIVINGAREA_MODE,112
454,MIN(previous_app.SELLERPLACE_AREA),112
12,COMMONAREA_AVG,111
1279,MEAN(bureau.NUM_UNIQUE(bureau_balance.STATUS)),111
